Length,MW,Charge,ChargeDensity,pI,InstabilityInd,Aromaticity,AliphaticInd,BomanInd,HydrophRatio,label
15.0,1423.74,1.99,0.0013977271130964923,13.55078125,40.14666666666666,0.0,130.0,-0.7339999999999999,0.5333333333333333,0
15.0,1658.86,0.991,0.000597398213230773,10.58203125,54.699999999999996,0.06666666666666667,97.33333333333333,1.9259999999999995,0.3333333333333333,1
15.0,1411.53,0.99,0.0007013666021976154,10.7421875,10.853333333333333,0.0,85.33333333333333,1.3099999999999998,0.4666666666666667,0
13.0,1359.52,1.989,0.0014630163587148405,12.84375,5.661538461538462,0.0,45.38461538461539,1.943076923076923,0.38461538461538464,1
15.0,1211.3799999999999,0.99,0.0008172497482210372,12.25,2.1000000000000014,0.0,104.0,-1.4133333333333336,0.4666666666666667,0
10.0,1290.43,0.033,2.557287105848438e-05,7.71875,20.720000000000002,0.2,58.0,2.727,0.4,0
15.0,1494.61,-1.012,-0.0006770997116304588,3.9296875,32.3,0.06666666666666667,91.33333333333333,0.5900000000000001,0.5333333333333333,0
15.0,1786.1,4.031,0.0022568725155366442,13.796875,86.03999999999999,0.0,110.66666666666666,3.0793333333333326,0.4,0
24.0,2395.67,-3.009,-0.001256016062312422,3.78857421875,30.862500000000004,0.0,117.91666666666667,0.5095833333333334,0.4166666666666667,1
20.0,2068.3,-0.967,-0.0004675337233476768,5.3046875,21.055,0.05,102.5,0.9085000000000001,0.5,0
15.0,1753.05,3.877,0.002211574113687573,12.39990234375,120.92666666666665,0.06666666666666667,97.33333333333333,2.571333333333333,0.3333333333333333,1
15.0,1681.94,0.989,0.0005880114629534942,10.025390625,30.253333333333334,0.2,65.33333333333333,-0.21066666666666672,0.4,0
10.0,1084.27,-0.01,-9.222795060270965e-06,6.6875,-38.04,0.0,175.0,0.5860000000000001,0.6,0
15.0,1479.8,2.031,0.001372482767941614,12.84375,43.09333333333332,0.0,137.33333333333331,-0.7846666666666667,0.6666666666666666,1
10.0,1100.15,-1.009,-0.0009171476616824976,4.17236328125,77.05,0.1,39.0,2.911,0.2,1
15.0,1599.86,1.031,0.0006444313877464278,10.025390625,41.06666666666667,0.06666666666666667,72.0,0.46599999999999997,0.4666666666666667,0
15.0,1568.74,-0.01,-6.374542626566544e-06,6.9375,9.280000000000001,0.0,52.0,2.0986666666666673,0.26666666666666666,1
18.0,1971.18,-0.32,-0.00016233930944916243,6.171875,20.56111111111111,0.05555555555555555,27.22222222222222,2.2888888888888888,0.2222222222222222,1
15.0,1974.2,4.991,0.0025281126532266233,12.400390625,178.48666666666662,0.06666666666666667,26.0,7.423333333333335,0.13333333333333333,0
9.0,1136.31,-0.009,-7.920373841645325e-06,6.9375,119.82222222222224,0.2222222222222222,86.66666666666666,1.793333333333333,0.4444444444444444,1
15.0,1812.09,2.029,0.0011197015600770382,10.44140625,78.02000000000001,0.13333333333333333,84.66666666666667,1.528,0.26666666666666666,0
8.0,947.11,-1.009,-0.0010653461583131842,4.150390625,64.925,0.125,110.0,-0.4550000000000002,0.625,0
16.0,1818.99,-3.008,-0.0016536649459315334,3.78857421875,49.5,0.0625,121.875,2.086875,0.5,0
15.0,1710.0,3.99,0.0023333333333333335,12.5751953125,142.65999999999997,0.0,97.33333333333333,3.623999999999999,0.3333333333333333,0
14.0,1401.6,-1.01,-0.0007206050228310502,3.7099609375,33.892857142857146,0.07142857142857142,97.14285714285714,-0.39357142857142857,0.42857142857142855,0
10.0,1173.28,-0.014,-1.193236056184372e-05,6.75,-6.029999999999999,0.2,68.0,1.7430000000000003,0.2,1
15.0,1641.9,0.837,0.0005097752603690845,8.7587890625,7.54,0.0,124.0,1.9606666666666663,0.5333333333333333,0
15.0,1509.84,1.99,0.001318020452498278,13.55078125,73.2,0.0,182.0,-0.7826666666666668,0.6666666666666666,0
20.0,2218.56,0.835,0.0003763702581854897,8.705078125,118.85,0.05,68.5,1.7919999999999998,0.4,0
10.0,1040.0,-3.011,-0.002895192307692308,3.32177734375,28.04,0.1,39.0,2.7950000000000004,0.2,0
8.0,887.0,-0.01,-1.1273957158962797e-05,6.8125,49.224999999999994,0.0,85.0,2.2612499999999995,0.25,1
15.0,1353.41,0.99,0.0007314856547535484,10.7421875,40.446666666666665,0.13333333333333333,26.0,1.0186666666666657,0.2,1
10.0,926.04,1.031,0.0011133428361625847,12.25,0.5099999999999998,0.0,117.0,-0.2700000000000001,0.5,0
15.0,1849.28,1.834,0.0009917373247966777,9.7548828125,78.63333333333333,0.13333333333333333,110.66666666666667,0.9486666666666663,0.5333333333333333,1
15.0,1584.91,1.989,0.0012549608495119598,12.84375,49.166666666666664,0.06666666666666667,136.0,-0.6086666666666666,0.5333333333333333,0
10.0,1021.22,2.031,0.0019887977125399034,12.84375,9.400000000000002,0.0,126.0,-0.09699999999999989,0.4,0
20.0,2169.43,0.984,0.00045357536311381333,9.39306640625,114.8205,0.2,68.0,0.12150000000000005,0.3,1
15.0,1855.03,1.032,0.0005563252346323241,10.001953125,44.266666666666666,0.06666666666666667,58.666666666666664,4.239333333333333,0.2,1
8.0,914.02,-0.01,-1.0940679635018928e-05,6.8125,89.43750000000001,0.0,85.0,2.6662500000000002,0.25,1
10.0,1161.4,0.988,0.0008506974341312209,9.7353515625,28.26,0.1,195.0,0.16500000000000012,0.6,1
15.0,1682.01,2.989,0.0017770405645626364,11.392578125,52.87333333333332,0.0,72.0,2.816666666666666,0.4,1
15.0,1490.59,-0.012,-8.05050349190589e-06,6.5,78.29999999999998,0.06666666666666667,78.0,1.0646666666666669,0.26666666666666666,1
25.0,2802.12,3.03,0.0010813241402937775,11.6416015625,20.36,0.12,74.4,2.4583999999999997,0.36,1
15.0,1147.23,-0.164,-0.00014295302598432748,5.90625,28.35333333333333,0.0,65.33333333333333,-0.6753333333333331,0.4,1
10.0,1066.1299999999999,-0.012,-1.1255663005449619e-05,6.875,20.310000000000002,0.1,39.0,2.0780000000000003,0.1,1
16.0,1600.91,0.99,0.0006183982859748518,12.25,34.875,0.0,91.25,-0.28062499999999996,0.4375,1
15.0,1754.95,1.031,0.0005874811248183709,9.7314453125,20.006666666666664,0.13333333333333333,64.66666666666666,2.178666666666667,0.2,0
11.0,1434.6299999999999,-0.082,-5.715759464112699e-05,7.236328125,15.072727272727274,0.36363636363636365,44.545454545454554,0.17090909090909098,0.45454545454545453,0
15.0,2027.26,4.033,0.0019893846867200067,11.94287109375,42.49333333333333,0.06666666666666667,26.0,7.256666666666667,0.13333333333333333,0
20.0,2082.35,-0.012,-5.762720003841814e-06,6.5,46.46000000000001,0.1,88.0,0.2115000000000001,0.4,1
17.0,2069.31,-0.165,-7.97367238354814e-05,6.28125,11.62941176470588,0.17647058823529413,62.94117647058823,1.5158823529411762,0.23529411764705882,0
5.0,552.63,0.032,5.7904927347411474e-05,7.7109375,-8.98,0.0,156.0,0.522,0.6,0
10.0,992.0699999999999,-2.009,-0.002025058715614826,3.537109375,-4.75,0.0,68.0,1.27,0.4,0
8.0,830.89,-0.01,-1.203528746284105e-05,6.8125,49.224999999999994,0.0,36.25,2.75875,0.125,1
15.0,1582.94,1.99,0.0012571544088847335,13.55078125,124.89333333333333,0.06666666666666667,91.33333333333333,-0.25799999999999995,0.4,1
8.0,887.0,1.989,0.0022423900789177004,11.400390625,-1.8625000000000003,0.0,85.0,3.6675,0.375,0
15.0,1504.61,-0.012,-7.975488664836735e-06,6.5,3.7799999999999976,0.13333333333333333,65.33333333333333,0.3273333333333333,0.4,1
13.0,1403.65,-2.009,-0.0014312684786093397,3.537109375,38.861538461538466,0.0,172.30769230769232,-0.06692307692307677,0.6153846153846154,1
15.0,1688.91,-1.01,-0.0005980188405539668,3.9296875,30.4,0.13333333333333333,84.66666666666667,0.1786666666666666,0.3333333333333333,1
10.0,1164.23,-1.012,-0.0008692440497152624,4.0107421875,47.52,0.1,88.0,3.4170000000000003,0.3,1
15.0,1729.0,1.032,0.0005968768074031232,10.7421875,29.35333333333333,0.2,110.66666666666666,0.08400000000000002,0.6,0
15.0,1304.3799999999999,0.99,0.000758981278461798,12.25,23.46666666666666,0.13333333333333333,46.0,-0.5973333333333334,0.3333333333333333,0
5.0,564.79,0.99,0.0017528638963154447,12.25,90.11999999999999,0.0,0.0,-1.598,0.6,0
10.0,1063.19,-1.009,-0.0009490307470913005,4.150390625,12.23,0.0,78.0,1.1079999999999999,0.5,0
16.0,2010.27,1.991,0.0009904142229650744,11.6259765625,108.00624999999998,0.0,97.5,5.0375000000000005,0.3125,0
15.0,1503.66,0.99,0.0006583935198116595,10.013671875,43.906666666666666,0.0,78.0,1.8359999999999996,0.4,0
8.0,695.75,0.836,0.0012015810276679842,8.759765625,26.25,0.0,36.25,0.69625,0.25,1
20.0,2157.7599999999998,3.031,0.0014046974640367792,13.55859375,11.115,0.0,190.5,-1.136,0.7,1
20.0,2129.52,3.682,0.001729028137796311,11.62646484375,19.400000000000002,0.0,88.0,2.372,0.45,0
15.0,1425.68,1.99,0.00139582515010381,13.55078125,-7.646666666666666,0.0,149.33333333333331,-0.3866666666666666,0.4666666666666667,1
10.0,1136.23,1.032,0.000908266812177112,10.58203125,78.0,0.0,49.0,4.683999999999999,0.2,0
10.0,1202.3899999999999,-1.009,-0.0008391620023453289,4.322265625,53.32000000000001,0.0,127.0,2.4979999999999998,0.5,1
13.0,1316.46,-1.009,-0.0007664494173769046,4.150390625,11.715384615384618,0.0,120.0,0.4015384615384615,0.46153846153846156,0
20.0,2125.4,1.987,0.0009348828455820081,10.458984375,8.985000000000001,0.15,68.5,0.5119999999999998,0.4,1
25.0,2655.12,1.074,0.00040450149145801326,10.58203125,9.036000000000001,0.04,144.39999999999998,0.32,0.56,1
8.0,820.86,0.99,0.0012060521891674584,10.7421875,135.9,0.0,61.25,3.8137499999999998,0.25,1
15.0,1630.94,2.989,0.0018326854452033795,13.55859375,-18.92,0.13333333333333333,91.33333333333333,0.17466666666666672,0.4666666666666667,0
20.0,2163.42,-2.008,-0.0009281600428950457,4.248046875,27.415000000000003,0.05,93.0,1.798,0.55,0
9.0,861.05,0.99,0.0011497590151559143,12.25,8.88888888888889,0.1111111111111111,163.33333333333331,-2.301111111111111,0.7777777777777778,1
20.0,2064.28,2.029,0.0009829092952506442,11.14453125,47.455,0.1,39.0,1.0174999999999998,0.2,0
15.0,1694.03,-2.165,-0.0012780175085447128,3.6875,57.89999999999999,0.06666666666666667,142.66666666666669,-0.4846666666666667,0.6,1
15.0,1165.29,0.836,0.0007174179817899407,8.759765625,30.919999999999995,0.06666666666666667,58.666666666666664,-1.3980000000000004,0.3333333333333333,1
20.0,2164.44,1.99,0.0009194064053519616,11.80078125,28.935000000000002,0.1,58.5,2.0069999999999997,0.3,0
15.0,1630.87,-0.121,-7.41935286074304e-05,7.08203125,-6.38,0.06666666666666667,110.0,0.7940000000000002,0.5333333333333333,0
20.0,2066.37,0.03,1.4518213098331858e-05,7.671875,42.215,0.05,137.0,0.17099999999999999,0.55,0
11.0,1194.3899999999999,1.031,0.0008632021366555313,10.025390625,44.472727272727276,0.09090909090909091,80.0,0.54,0.45454545454545453,0
15.0,1457.71,2.99,0.0020511624397170905,13.70703125,-5.4933333333333305,0.0,78.0,1.160666666666667,0.3333333333333333,0
20.0,2257.53,-2.01,-0.0008903536165632349,4.091796875,-10.275000000000002,0.0,92.5,2.8299999999999996,0.35,1
15.0,1592.72,0.03,1.883570244612989e-05,7.671875,2.746666666666667,0.13333333333333333,58.666666666666664,1.4673333333333332,0.3333333333333333,0
8.0,903.9399999999999,-0.009,-9.956413036263468e-06,6.9375,-5.225,0.125,12.5,3.13625,0.125,1
8.0,824.88,0.988,0.001197749975754049,9.740234375,-0.675,0.125,61.25,0.9575,0.375,1
15.0,1545.68,-1.163,-0.0007524196470162,4.451171875,62.84666666666667,0.0,58.666666666666664,2.0746666666666664,0.3333333333333333,0
20.0,2060.39,-0.01,-4.853450074985804e-06,6.8125,5.73,0.05,122.0,0.23549999999999996,0.65,0
15.0,1329.6,0.99,0.0007445848375451264,12.25,9.333333333333332,0.06666666666666667,157.33333333333334,-2.312,0.8666666666666667,1
15.0,1620.77,0.033,2.0360692757146297e-05,7.71875,22.173333333333336,0.0,98.0,2.7619999999999996,0.5333333333333333,0
15.0,1594.05,1.989,0.0012477651265644116,12.84375,6.24,0.06666666666666667,227.33333333333337,-2.6393333333333335,0.6666666666666666,0
8.0,914.02,-0.01,-1.0940679635018928e-05,6.8125,54.75,0.0,85.0,2.6662500000000002,0.25,1
15.0,1653.15,1.99,0.0012037625139884461,13.55078125,9.333333333333332,0.06666666666666667,259.3333333333333,-2.412666666666667,0.8666666666666667,0
15.0,1648.8899999999999,0.988,0.0005991909708955723,9.740234375,46.44,0.06666666666666667,117.33333333333333,0.5306666666666665,0.5333333333333333,1
20.0,1989.23,-3.009,-0.0015126455965373535,3.4248046875,7.370000000000002,0.05,141.0,-0.3669999999999997,0.6,0
